id,employee_id/id,job_id/id,wage,date_start,trial_date_start,trial_date_end,schedule_template_id/id,struct_id/id,pps_id/id,policy_group_id/id
contract_331,l31_plant_31,braam_flowers.job_worker_planting31,625,2011-05-26,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_332,l31_plant_32,braam_flowers.job_worker_planting31,625,2011-05-26,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_333,l31_plant_33,braam_flowers.job_worker_planting31,625,2011-06-22,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_334,l31_plant_34,braam_flowers.job_worker_planting31,625,2011-07-03,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_335,l31_plant_35,braam_flowers.job_worker_planting31,625,2011-07-03,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_336,l31_plant_36,braam_flowers.job_worker_planting31,625,2011-07-03,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_337,l31_plant_37,braam_flowers.job_worker_planting31,625,2011-07-03,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_338,l31_plant_39,braam_flowers.job_worker_planting31,625,2011-07-23,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_339,l31_plant_40,braam_flowers.job_worker_planting31,625,2011-07-23,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_340,l31_plant_41,braam_flowers.job_worker_planting31,625,2011-07-23,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_341,l31_plant_42,braam_flowers.job_worker_planting31,625,2011-08-01,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
